date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:03:17	73871/73871	---M--	200	added ('OK')	image/jpeg	etag:%2299619f0df53a2d767efbc6480452a929%22	https://pgi.playbattlegrounds.com/assets/img/bkg_rules.jpg	C:/O/PUBG/pgi.playbattlegrounds.com/w0l7r0aa.jpg	(from https://pgi.playbattlegrounds.com/about)
02:03:18	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2020%20Feb%202019%2020:03:17%20GMT	http://pgi.playbattlegrounds.com/assets/img/bkg_rules_cover.png	C:/O/PUBG/pgi.playbattlegrounds.com/mb8b7dbj.png	(from https://pgi.playbattlegrounds.com/about)
02:03:18	1524178/1524178	---M--	200	added ('OK')	image/png	etag:%2250c5d2211d12fe8f369c467736374711%22	https://pgi.playbattlegrounds.com/assets/img/about_prizes_michelle.png	C:/O/PUBG/pgi.playbattlegrounds.com/tew5c6bd.png	(from https://pgi.playbattlegrounds.com/about)
02:03:20	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2020%20Feb%202019%2020:03:18%20GMT	http://pgi.playbattlegrounds.com/assets/img/bkg_rules_lobby.jpg	C:/O/PUBG/pgi.playbattlegrounds.com/o8w7b1ol.jpg	(from https://pgi.playbattlegrounds.com/about)
02:03:20	141777/141777	---M--	200	added ('OK')	image/png	etag:%22cbc7b769c8685c95de9d903f2ba02b21%22	https://pgi.playbattlegrounds.com/assets/img/bkg_rules_cover.png	C:/O/PUBG/pgi.playbattlegrounds.com/3vjs0r4r.png	(from https://pgi.playbattlegrounds.com/about)
02:03:20	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2020%20Feb%202019%2020:03:20%20GMT	http://pgi.playbattlegrounds.com/assets/img/event-slider/event_slider_lightning.png	C:/O/PUBG/pgi.playbattlegrounds.com/xtkv_10n.png	(from https://pgi.playbattlegrounds.com/about)
02:03:20	16984/16984	---M--	200	added ('OK')	image/png	etag:%2245e1a81c8291ea231c6fae41f5b82b27%22	https://pgi.playbattlegrounds.com/assets/img/event-slider/event_slider_lightning.png	C:/O/PUBG/pgi.playbattlegrounds.com/ccwbrdqw.png	(from https://pgi.playbattlegrounds.com/about)
02:03:22	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2020%20Feb%202019%2020:03:20%20GMT	http://pgi.playbattlegrounds.com/assets/img/event-slider/event_slider_erangel.jpg	C:/O/PUBG/pgi.playbattlegrounds.com/skau_hsw.jpg	(from https://pgi.playbattlegrounds.com/about)
02:03:22	870722/870722	---M--	200	added ('OK')	image/jpeg	etag:%22c225423f4eae1bb35d9f8e8f13b543d0%22	https://pgi.playbattlegrounds.com/assets/img/bkg_rules_lobby.jpg	C:/O/PUBG/pgi.playbattlegrounds.com/5r9m6pft.jpg	(from https://pgi.playbattlegrounds.com/about)
02:03:23	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2020%20Feb%202019%2020:03:22%20GMT	http://pgi.playbattlegrounds.com/assets/img/event-slider/event_slider_miramar.jpg	C:/O/PUBG/pgi.playbattlegrounds.com/qom04vft.jpg	(from https://pgi.playbattlegrounds.com/about)
